transactionId,fileHeaderDate,accountNumber,transactionType,batchLocation,batchNumber,updateBatchDate,relatedFileNumber,actionName,relatedFileKey,doNotReportFlag,explanation,minorAssetsClass,owningPortfolio,posterInitials,transactionSubtype,cashEffect,cashPaidOut,brokerNumber,oldBalance,newBalance
TXN10201,20260520,ACC0001,1,NY,1001,20260520,1234,BUY,998877,N,Purchased Apple Inc Shares,5,501,JD,10,15000,15000,55,100000,115000
TXN00202,20260520,ACC0002,2,LON,1001,20260520,1235,SELL,998878,N,Sold Microsoft Shares,5,502,AB,20,-8500,0,56,45000,36500
INVALID_ID_1,20260520,ACC0003,1,TOK,1002,20260520,1236,BUY,998879,N,Bad Transaction ID format,3,503,XY,10,4200.75,4200.75,57,12500,16700.75
TXN10204,20260520,ACC0004,1,NY,1002,20260520,1237,BUY,998880,Y,Invalid Date format,6,504,JD,15,50000,50000,55,200000,250000
TXN10205,20260520,ACC0005,2,NY,1003,20260520,1238,SELL,998881,N,Invalid Account Number format,2,505,MZ,25,-1200.5,1200.5,58,8900,7699.5
TXN10206,20260520,ACC0006,1,NY,1009,20260520,1239,BUY,998882,N,Non-numeric batchNumber,4,506,JD,10,2500,2500,59,10000,12500
TXN10207,20260520,ACC0007,2,NY,1004,20260520,1240,SELL,998883,YES,Do Not Report Flag too long,1,507,MZ,25,-500,0,60,5000,4500
TXN10208,20260520,ACC0008,1,NY,1005,20260520,1241,BUY,998884,N,Missing posterInitials,,508,,10,3000,3000,61,6000,9000
TXN10209,20260520,ACC0009,2,NY,1006,20260520,1242,SELL,998885,N,Invalid scale cashEffect,3,509,MZ,25,-1000.555,0,62,8000,6999.445

