transactionId,fileHeaderDate,accountNumber,transactionType,batchLocation,batchNumber,updateBatchDate,relatedFileNumber,actionName,relatedFileKey,doNotReportFlag,explanation,minorAssetsClass,owningPortfolio,posterInitials,transactionSubtype,cashEffect,cashPaidOut,brokerNumber,oldBalance,newBalance
TXN001110,20250912,ACC000001110,86,CHE,150493,20260225,810610,ADJ,48000459,N,AUTO-GENERATED TRANSACTION,63,556534,AK,39,-17299.31,0.00,45621,2073905,2075590.89
TXN001111,20250517,ACC000001111,19,CHE,937393,20260225,810422,ADJ,48000181,Y,AUTO-GENERATED TRANSACTION,39,556529,RS,16,30628.13,0.00,45692,2577093,2582274.52
TXN001112,20250419,ACC000001112,44,HYD,556516,20260225,810141,POST,48000520,Y,AUTO-GENERATED TRANSACTION,73,556568,VP,9,-19351.62,0.00,45534,1821148,1863250.09
TXN001113,20251024,ACC000001113,14,DEL,162124,20260225,810585,POST,48000227,N,AUTO-GENERATED TRANSACTION,83,556510,RS,17,-37448.48,0.00,45777,1080536,1031940.75
TXN001114,20250309,ACC000001114,28,MUM,990627,20260225,810859,ADJ,48000913,Y,AUTO-GENERATED TRANSACTION,95,556566,AK,20,6757.99,0.00,45176,1604459,1628783.39
TXN001115,20250126,ACC000001115,50,HYD,815869,20260225,810669,ADJ,48000835,N,AUTO-GENERATED TRANSACTION,11,556599,VP,15,-5769.28,0.00,45993,2483921,2446914.08
TXN001116,20250102,ACC000001116,43,DEL,263787,20260225,810204,REV,48000526,N,AUTO-GENERATED TRANSACTION,50,556514,VP,33,47096.51,0.00,45982,2333996,2330746.96
TXN001117,20250213,ACC000001117,55,MUM,295069,20260225,810996,REV,48000391,N,AUTO-GENERATED TRANSACTION,51,556503,RS,25,2526.29,0.00,45885,1912753,1956349.04
TXN001118,20250619,ACC000001118,46,PUN,208941,20260225,810957,ADJ,48000153,Y,AUTO-GENERATED TRANSACTION,71,556553,VP,4,30100.76,0.00,45380,1814383,1796671.92
TXN001119,20250212,ACC000001119,12,MUM,316462,20260225,810458,POST,48000512,Y,AUTO-GENERATED TRANSACTION,28,556585,AK,16,23997.81,0.00,45771,2684465,2654972.62
TXN001120,20251105,ACC000001120,71,PUN,343693,20260225,810704,POST,48000434,N,AUTO-GENERATED TRANSACTION,48,556545,AK,6,49899.27,0.00,45918,2615730,2588859.23
TXN001121,20250511,ACC000001121,23,DEL,789725,20260225,810964,REV,48000316,Y,AUTO-GENERATED TRANSACTION,29,556530,VP,33,40135.18,0.00,45213,1212393,1177002.74
TXN001122,20251013,ACC000001122,73,MUM,137929,20260225,810797,POST,48000246,N,AUTO-GENERATED TRANSACTION,11,556573,VP,2,24190.12,0.00,45826,2562875,2515701.90
TXN001123,20250423,ACC000001123,90,HYD,381776,20260225,810855,REV,48000800,N,AUTO-GENERATED TRANSACTION,94,556526,VP,29,-18802.54,0.00,45287,2121474,2089105.15
TXN001124,20251222,ACC000001124,80,MUM,428086,20260225,810825,REV,48000137,Y,AUTO-GENERATED TRANSACTION,86,556541,AK,21,-22468.17,0.00,45189,2342881,2328059.91
TXN001125,20250921,ACC000001125,25,DEL,556573,20260225,810627,ADJ,48000375,N,AUTO-GENERATED TRANSACTION,59,556563,MT,9,39149.57,0.00,45390,1593721,1560440.86
TXN001126,20250401,ACC000001126,70,PUN,699262,20260225,810480,POST,48000957,Y,AUTO-GENERATED TRANSACTION,38,556525,AK,36,21860.57,0.00,45741,1292869,1327297.64
TXN001127,20250611,ACC000001127,65,CHE,583215,20260225,810526,POST,48000381,Y,AUTO-GENERATED TRANSACTION,73,556564,RS,18,-40303.98,0.00,45459,1109172,1106467.36
TXN001128,20250506,ACC000001128,67,CHE,730221,20260225,810293,POST,48000922,N,AUTO-GENERATED TRANSACTION,91,556508,RS,37,-40922.21,0.00,45584,1088820,1136638.88
TXN001129,20250326,ACC000001129,14,DEL,970300,20260225,810453,ADJ,48000093,Y,AUTO-GENERATED TRANSACTION,41,556540,MT,6,-1414.15,0.00,45531,1455655,1480281.58
TXN001130,20250316,ACC000001130,17,PUN,347571,20260225,810643,REV,48000481,N,AUTO-GENERATED TRANSACTION,50,556534,AK,16,20156.93,0.00,45999,1123448,1076911.00
TXN001131,20250715,ACC000001131,93,DEL,171710,20260225,810622,REV,48000571,N,AUTO-GENERATED TRANSACTION,50,556595,MT,35,1731.06,0.00,45014,2866330,2901325.68
TXN001132,20250726,ACC000001132,82,MUM,283717,20260225,810878,POST,48000510,N,AUTO-GENERATED TRANSACTION,61,556567,AK,18,-29344.11,0.00,45908,2552987,2526779.94
TXN001133,20250902,ACC000001133,91,HYD,478987,20260225,810750,ADJ,48000367,Y,AUTO-GENERATED TRANSACTION,27,556585,VP,20,45572.56,0.00,45460,1779946,1818768.91
TXN001134,20251208,ACC000001134,25,CHE,981121,20260225,810350,POST,48000435,Y,AUTO-GENERATED TRANSACTION,55,556510,RS,39,9300.63,0.00,45430,2760653,2742825.19
TXN001135,20250329,ACC000001135,45,HYD,611012,20260225,810872,ADJ,48000928,N,AUTO-GENERATED TRANSACTION,73,556586,RS,37,48806.36,0.00,45291,1071032,1050375.13
TXN001136,20250226,ACC000001136,63,PUN,701516,20260225,810363,POST,48000982,Y,AUTO-GENERATED TRANSACTION,26,556516,MT,6,22469.79,0.00,45656,1982900,1939172.67
TXN001137,20250512,ACC000001137,29,DEL,491982,20260225,810325,REV,48000930,N,AUTO-GENERATED TRANSACTION,12,556506,VP,31,11305.75,0.00,45203,2837155,2841213.56
TXN001138,20250924,ACC000001138,43,HYD,558241,20260225,810556,REV,48000146,N,AUTO-GENERATED TRANSACTION,70,556529,MT,20,8758.44,0.00,45814,1263627,1217615.02
TXN001139,20251007,ACC000001139,76,CHE,350839,20260225,810441,POST,48000401,Y,AUTO-GENERATED TRANSACTION,84,556578,RS,25,1045.61,0.00,45120,1270458,1290197.42
TXN001140,20251016,ACC000001140,74,DEL,623562,20260225,810658,ADJ,48000359,N,AUTO-GENERATED TRANSACTION,66,556524,RS,9,28154.55,0.00,45299,2769200,2738767.67
TXN001141,20251127,ACC000001141,72,MUM,136701,20260225,810374,REV,48000419,Y,AUTO-GENERATED TRANSACTION,68,556532,MT,6,-47653.11,0.00,45721,2002626,1986838.62
TXN001142,20250817,ACC000001142,30,CHE,326131,20260225,810572,POST,48000013,N,AUTO-GENERATED TRANSACTION,21,556550,RS,10,-18134.39,0.00,45813,1687368,1679440.70
TXN001143,20251205,ACC000001143,94,CHE,971799,20260225,810520,POST,48000920,Y,AUTO-GENERATED TRANSACTION,24,556577,RS,10,16841.54,0.00,45855,2784941,2787462.45
TXN001144,20250129,ACC000001144,32,PUN,210391,20260225,810103,ADJ,48000253,N,AUTO-GENERATED TRANSACTION,32,556545,RS,6,-48268.46,0.00,45251,1896934,1915618.95
