transactionId,fileHeaderDate,accountNumber,transactionType,batchLocation,batchNumber,updateBatchDate,relatedFileNumber,actionName,relatedFileKey,doNotReportFlag,explanation,minorAssetsClass,owningPortfolio,posterInitials,transactionSubtype,cashEffect,cashPaidOut,brokerNumber,oldBalance,newBalance
TXN000001,20250128,ACC000000001,74,CHE,757889,20260225,810638,ADJ,48000198,Y,AUTO-GENERATED TRANSACTION,53,556520,AK,21,-47590.38,0.00,45881,1737531,1772941.87
TXN000002,20250507,ACC000000002,22,MUM,603621,20260225,810016,POST,48000310,Y,AUTO-GENERATED TRANSACTION,56,556553,RS,33,-4573.68,0.00,45483,2825979,2807540.21
TXN000003,20250418,ACC000000003,82,HYD,375976,20260225,810963,ADJ,48000071,N,AUTO-GENERATED TRANSACTION,17,556538,AK,20,-47902.98,0.00,45625,2682566,2641338.22
TXN000004,20250208,ACC000000004,44,PUN,716566,20260225,810997,POST,48000982,Y,AUTO-GENERATED TRANSACTION,97,556567,RS,22,-35852.20,0.00,45089,1017506,975121.48
TXN000005,20250812,ACC000000005,45,DEL,101782,20260225,810522,ADJ,48000950,N,AUTO-GENERATED TRANSACTION,54,556512,RS,37,41298.22,0.00,45273,1521502,1524665.70
TXN000006,20251015,ACC000000006,71,HYD,361512,20260225,810270,REV,48000557,N,AUTO-GENERATED TRANSACTION,21,556522,MT,6,-4933.84,0.00,45551,1081205,1073053.30
TXN000007,20250423,ACC000000007,17,DEL,128746,20260225,810473,ADJ,48000026,Y,AUTO-GENERATED TRANSACTION,26,556575,AK,26,21761.92,0.00,45147,1862021,1821534.12
TXN000008,20251005,ACC000000008,42,CHE,926594,20260225,810616,REV,48000214,Y,AUTO-GENERATED TRANSACTION,50,556527,MT,31,-24969.71,0.00,45593,2414604,2404577.79
TXN000009,20250817,ACC000000009,16,DEL,861490,20260225,810787,ADJ,48000944,N,AUTO-GENERATED TRANSACTION,88,556585,AK,19,19634.95,0.00,45699,2755024,2769096.10
TXN000010,20251201,ACC000000010,91,HYD,575817,20260225,810224,ADJ,48000624,Y,AUTO-GENERATED TRANSACTION,61,556546,RS,26,-38342.44,0.00,45358,2498430,2507633.31
TXN000011,20250616,ACC000000011,60,DEL,976736,20260225,810183,ADJ,48000760,N,AUTO-GENERATED TRANSACTION,53,556504,VP,29,40865.68,0.00,45108,2565334,2555532.45
TXN000012,20250920,ACC000000012,11,HYD,136013,20260225,810332,ADJ,48000188,Y,AUTO-GENERATED TRANSACTION,23,556517,VP,40,27988.11,0.00,45867,1299872,1279646.12
TXN000013,20250627,ACC000000013,17,MUM,946758,20260225,810335,POST,48000218,N,AUTO-GENERATED TRANSACTION,55,556559,RS,29,-38426.84,0.00,45378,2956806,2992548.63
TXN000014,20250930,ACC000000014,73,PUN,185158,20260225,810150,ADJ,48000789,Y,AUTO-GENERATED TRANSACTION,46,556519,AK,32,-46101.20,0.00,45210,2258118,2284495.35
TXN000015,20251018,ACC000000015,67,HYD,881834,20260225,810801,ADJ,48000397,Y,AUTO-GENERATED TRANSACTION,34,556583,AK,5,23815.47,0.00,45543,2767100,2804438.63
TXN000016,20251005,ACC000000016,93,MUM,370324,20260225,810367,POST,48000554,N,AUTO-GENERATED TRANSACTION,44,556538,AK,2,-7471.56,0.00,45347,2567148,2544473.92
TXN000017,20250424,ACC000000017,94,HYD,382172,20260225,810544,ADJ,48000515,N,AUTO-GENERATED TRANSACTION,48,556584,MT,7,-46915.50,0.00,45292,1653359,1609004.43
TXN000018,20250623,ACC000000018,64,MUM,870821,20260225,810941,POST,48000132,N,AUTO-GENERATED TRANSACTION,76,556517,VP,26,-48349.38,0.00,45308,1306576,1331678.06
TXN000019,20250927,ACC000000019,16,MUM,325539,20260225,810351,ADJ,48000526,N,AUTO-GENERATED TRANSACTION,54,556524,VP,25,33832.15,0.00,45905,1368025,1374628.00
TXN000020,20250819,ACC000000020,84,HYD,619709,20260225,810045,POST,48000797,N,AUTO-GENERATED TRANSACTION,90,556530,RS,39,19991.48,0.00,45263,1141985,1111597.00
TXN000021,20250728,ACC000000021,21,DEL,492654,20260225,810977,REV,48000899,Y,AUTO-GENERATED TRANSACTION,22,556571,VP,14,16776.53,0.00,45211,2380950,2372018.00
TXN000022,20250601,ACC000000022,68,CHE,259619,20260225,810779,ADJ,48000703,Y,AUTO-GENERATED TRANSACTION,10,556519,AK,27,36592.62,0.00,45709,2715335,2706841.21
TXN000023,20250412,ACC000000023,47,MUM,397514,20260225,810777,POST,48000980,Y,AUTO-GENERATED TRANSACTION,10,556584,AK,35,-28759.00,0.00,45185,2290795,2304794.07
TXN000024,20250814,ACC000000024,87,DEL,559508,20260225,810468,REV,48000429,Y,AUTO-GENERATED TRANSACTION,26,556507,MT,19,36823.07,0.00,45402,1206383,1253055.60
TXN000025,20250617,ACC000000025,31,PUN,289921,20260225,810543,REV,48000545,N,AUTO-GENERATED TRANSACTION,74,556564,AK,20,-49956.98,0.00,45704,1346946,1342127.04
TXN000026,20250604,ACC000000026,80,HYD,174409,20260225,810214,ADJ,48000840,Y,AUTO-GENERATED TRANSACTION,38,556544,VP,39,10860.52,0.00,45367,1649404,1623526.12
TXN000027,20250506,ACC000000027,39,CHE,306880,20260225,810934,ADJ,48000370,Y,AUTO-GENERATED TRANSACTION,59,556543,VP,4,24856.94,0.00,45894,1975014,2010856.88
TXN000028,20250322,ACC000000028,41,HYD,354706,20260225,810935,REV,48000121,N,AUTO-GENERATED TRANSACTION,16,556540,VP,29,-48924.19,0.00,45999,2387905,2389331.95
TXN000029,20250530,ACC000000029,70,DEL,915805,20260225,810743,ADJ,48000288,N,AUTO-GENERATED TRANSACTION,88,556545,VP,33,12284.09,0.00,45193,2300727,2292039.19
TXN000030,20250315,ACC000000030,48,DEL,711722,20260225,810510,POST,48000995,N,AUTO-GENERATED TRANSACTION,30,556596,MT,30,-49414.87,0.00,45284,1868214,1832352.60
TXN000031,20250823,ACC000000031,54,PUN,986603,20260225,810285,ADJ,48000684,Y,AUTO-GENERATED TRANSACTION,81,556571,AK,4,28113.07,0.00,45304,1607782,1648496.81
TXN000032,20250801,ACC000000032,17,HYD,577217,20260225,810987,ADJ,48000482,Y,AUTO-GENERATED TRANSACTION,82,556581,MT,38,28292.83,0.00,45958,1125194,1086052.16
TXN000033,20250517,ACC000000033,98,DEL,879574,20260225,810946,POST,48000509,Y,AUTO-GENERATED TRANSACTION,63,556592,AK,23,14917.39,0.00,45487,2939150,2984603.21
TXN000034,20251118,ACC000000034,83,CHE,458737,20260225,810403,POST,48000527,N,AUTO-GENERATED TRANSACTION,17,556567,AK,11,-25712.52,0.00,45761,1652902,1653581.31
TXN000035,20250329,ACC000000035,28,MUM,837694,20260225,810905,REV,48000226,Y,AUTO-GENERATED TRANSACTION,66,556533,VP,33,41286.81,0.00,45816,1199334,1185958.20
TXN000036,20250616,ACC000000036,14,CHE,361568,20260225,810989,ADJ,48000012,N,AUTO-GENERATED TRANSACTION,39,556513,AK,31,42706.30,0.00,45411,1727475,1732778.58
TXN000037,20250912,ACC000000037,44,MUM,510929,20260225,810992,REV,48000440,Y,AUTO-GENERATED TRANSACTION,31,556566,AK,5,10681.34,0.00,45748,1767777,1786528.35
TXN000038,20250129,ACC000000038,26,CHE,199179,20260225,810234,POST,48000351,Y,AUTO-GENERATED TRANSACTION,97,556529,AK,33,48265.95,0.00,45034,1605627,1586579.93
TXN000039,20250118,ACC000000039,43,DEL,872963,20260225,810663,REV,48000680,N,AUTO-GENERATED TRANSACTION,52,556597,RS,31,14067.78,0.00,45276,1103354,1077415.93
