transactionId,fileHeaderDate,accountNumber,transactionCode,batchLocation,batchNumber,updateDate,relatedFile,actionNarration,relatedFile2,doNotReport,explanation,minorAsset,owningPort,posterInitials,transactionAmount,cashEffect,cashPaid,brokerNumber,oldBalance,newBalance
TXN000001,20250817,ACC887308,10,MUM,451267,20250819,48899988.96,POST,N,N,AUTO-GEN,99,55614,RS,-3970.85,33852.8,0,45139,2000000.0,1996029.15
TXN000002,20250329,ACC766382,78,MUM,454036,20250401,43266983.03,ADJ,N,Y,AUTO-GEN,62,55005,RS,-175.3,33484.6,0,45655,1996029.15,1995853.8499999999
TXN000003,20250422,ACC589408,78,MUM,456398,20250427,46972750.28,POST,Y,Y,AUTO-GEN,92,55398,RS,-1148.87,28069.0,0,45809,1995853.8499999999,1994704.9799999997
TXN000004,20250910,ACC728921,10,MUM,451569,20250913,48346823.34,ADJ,N,N,AUTO-GEN,46,55711,RM,-1322.55,20275.7,0,45248,1994704.9799999997,1993382.4299999997
TXN000005,20251102,ACC702244,13,HYD,455864,20251104,42972783.46,POST,N,Y,AUTO-GEN,73,55487,RM,-1230.98,21058.1,0,45345,1993382.4299999997,1992151.4499999997
TXN000006,20250502,ACC157905,78,DEL,458941,20250507,47538794.17,POST,Y,Y,AUTO-GEN,71,55507,RS,2726.7,34961.2,0,45808,1992151.4499999997,1994878.1499999997
TXN000007,20250916,ACC775874,20,CHE,450591,20250920,43256169.64,POST,N,Y,AUTO-GEN,93,55646,RM,1656.16,20957.8,1,45935,1994878.1499999997,1996534.3099999996
TXN000008,20260130,ACC914767,13,DEL,459948,20260204,46280081.43,POST,Y,N,AUTO-GEN,69,55704,RM,1859.26,38040.6,0,45699,1996534.3099999996,1998393.5699999996
TXN000009,20260219,ACC934389,20,HYD,451388,20260223,42548213.39,ADJ,Y,N,AUTO-GEN,22,55229,RM,-708.06,36433.8,0,45482,1998393.5699999996,1997685.5099999995
TXN000010,20250620,ACC847653,19,CHE,455399,20250625,48520777.72,POST,N,N,AUTO-GEN,70,55111,RS,4795.02,21715.7,0,45570,1997685.5099999995,2002480.5299999996
TXN000011,20250916,ACC352195,20,HYD,458924,20250916,49231459.84,POST,Y,Y,AUTO-GEN,72,55531,RM,-3175.83,35563.1,0,45715,2002480.5299999996,1999304.6999999995
TXN000012,20250331,ACC216345,20,DEL,453562,20250403,47816620.83,ADJ,Y,Y,AUTO-GEN,27,55154,RM,753.41,13795.1,1,45233,1999304.6999999995,2000058.1099999994
TXN000013,20250901,ACC366202,10,DEL,454327,20250905,49090211.75,POST,N,Y,AUTO-GEN,17,55104,RS,1141.07,22419.6,1,45711,2000058.1099999994,2001199.1799999995
TXN000014,20250614,ACC364429,49,PUN,457900,20250617,46503538.51,ADJ,Y,Y,AUTO-GEN,46,55684,RS,-3881.81,10249.4,0,45082,2001199.1799999995,1997317.3699999994
TXN000015,20251028,ACC579267,19,DEL,455795,20251102,46788380.56,ADJ,N,N,AUTO-GEN,56,55097,RS,2633.31,2087.7,0,45743,1997317.3699999994,1999950.6799999995
