transactionId,fileHeaderDate,accountNumber,transactionType,batchLocation,batchNumber,updateBatchDate,relatedFileNumber,actionName,relatedFileKey,doNotReportFlag,explanation,minorAssetsClass,owningPortfolio,posterInitials,transactionSubtype,cashEffect,cashPaidOut,oldBalance,newBalance
tx156242515974122000,20250817,7.08E+11,87,PJF,164564,20260225,810350,PYLM,48492757,Y,AUTO-GEN-0D8ON9WF,95,556525,YL,87,23091.1,856864.41,4675082.49,4675881.04
tx167157508616140921,20251208,9.84E+11,48,OAR,557255,20250526,854897,EQZR,55707090,N,AUTO-GEN-KJGAP5B6,45,374419,FQ,26,96599.16,649281.55,2802921.43,2762077.5
tx783603856129780147,20251016,6.94E+11,81,JWT,582615,20260114,388640,YMPE,20927893,Y,AUTO-GEN-GSHVCL9Z,57,779443,FP,94,-122047.73,-276514.96,2411476.5,2426642.57
tx750478917273481744,20260228,8.37E+11,40,AQW,987023,20250914,135659,QCFF,84546663,Y,AUTO-GEN-LQOBGLPC,92,935571,RI,43,-570221.97,-405297.71,4639640.43,4605198.73
tx282334323222856475,20250619,3.72E+11,74,ZAK,343227,20250825,337308,TXNH,43840199,N,AUTO-GEN-GNGWU3VA,59,872100,MY,49,-224623.46,-466848.68,3837661.17,3871304.67
tx385589131791787214,20250802,1.97E+11,72,NRM,282391,20260212,247832,QIUJ,29577609,Y,AUTO-GEN-OLJUCVKF,21,158964,ZZ,85,-199512.68,-707349.16,2377081.38,2347191.86
tx884138022032246242,20251224,8.76E+11,46,PJQ,827158,20251118,594544,QJQP,25279280,Y,AUTO-GEN-Z13B525U,74,402181,OC,18,551305.36,-174437.01,2135472.41,2112879.61
tx109227518887567367,20250429,9.99E+11,40,TNJ,339237,20251023,328315,FARJ,40920796,N,AUTO-GEN-3EP9D2IM,35,236138,XU,62,812132.43,232489.72,1750096.61,1774761.52
tx624867123002742566,20251211,5.00E+11,51,GRA,654917,20260115,748331,KHIV,46544644,Y,AUTO-GEN-EA6FCSWI,59,291301,IA,39,-300953.98,-447247.53,658134.31,705326.31
tx721837583064164837,20250808,5.99E+11,64,JAU,120544,20260117,196149,CKVH,70456840,Y,AUTO-GEN-PIBE3LXI,34,175841,ZR,65,764153.31,-539395.34,3822086.1,3846249.07
tx384969555965983863,20260104,2.31E+11,71,FWN,468689,20251221,617241,PKYZ,73667431,Y,AUTO-GEN-HGMRILIY,56,552670,NB,98,-8159.51,-643534.59,2009244.96,1997870.88
tx943898611929617274,20250724,2.29E+11,18,UQA,149591,20250709,754438,XCMB,31115742,Y,AUTO-GEN-W3EGGGD2,93,962465,OI,29,-84099.03,-764526.72,4791589.91,4779133.32
tx201853252356882191,20250901,1.32E+11,72,NBS,764727,20251125,779237,IWXV,36079487,N,AUTO-GEN-ZLNUDSVS,84,133183,YL,86,828825.93,21741.75,2201784.66,2205455.88
tx905408599229883068,20250422,8.19E+11,76,OZQ,645683,20251113,170714,QKUC,94827828,Y,AUTO-GEN-O657T1SD,84,532238,UM,67,-954627.13,-731223.86,4024440.61,3979696.77
tx674224044576446603,20251209,5.95E+11,73,PSJ,390427,20250801,238713,GJHP,69140996,Y,AUTO-GEN-C2XYRSBP,69,560995,IL,61,179134.49,-180720.96,4966559.33,4970631.64
tx312610694464679191,20250309,5.31E+11,33,VFA,419947,20250613,822365,OFVL,98150788,Y,AUTO-GEN-8F49R4P0,30,904890,JD,62,515530.67,634204.9,1235566.95,1268344.61
tx197926277266534186,20251206,3.62E+11,65,CIY,402304,20250722,895786,DWAU,69381751,Y,AUTO-GEN-T5ZVWH9E,79,591265,OG,58,-264282.46,-163875.9,2472842.03,2508548.84
tx814200773974801884,20260224,4.91E+11,25,LTQ,910951,20260308,542511,GKLC,36813863,N,AUTO-GEN-TXK02SIJ,68,784241,ZX,34,178819.39,116415.6,4549843.11,4555020.31
tx142734366107209639,20250607,8.74E+11,32,KOL,953410,20251002,893852,AQWA,96833668,Y,AUTO-GEN-Q4S0JYJQ,42,494910,TL,53,996962,914688.83,3518035.21,3509235.54
tx593106770104641949,20250709,2.91E+11,82,UOQ,404607,20250528,589854,DNTE,31275818,Y,AUTO-GEN-2JRVR545,95,527631,OA,78,355346.15,-145453.99,1548404.57,1526361.51
tx121980192442289589,20260117,9.30E+11,79,TLD,723137,20250718,403460,HMGL,64066292,Y,AUTO-GEN-FFPNT8E4,66,527061,ZV,75,-169819.4,819506.49,4695293.36,4739420.48
tx197697445851885022,20250618,2.85E+11,79,MHG,945589,20250809,294118,MGRG,39007410,N,AUTO-GEN-1BVR11IV,17,682986,AF,10,350080.92,-361546.55,3966661.82,3980446.55
tx418482046253651051,20250519,1.19E+11,20,KPV,723013,20260227,643468,HGUC,86916201,N,AUTO-GEN-ZO5W8B9G,10,312472,EF,56,306094.59,734655.92,1477577.84,1469711.02
tx881292347933746036,20251204,2.68E+11,39,BNN,589217,20251129,726605,APGR,47100658,N,AUTO-GEN-8V4AMUYZ,50,356568,RS,97,132869.04,122932.2,3805732.15,3800352.6
tx085503622287586476,20250811,2.59E+11,89,NUM,166901,20251008,192477,HDHC,28494725,Y,AUTO-GEN-MKKRQQUJ,17,983998,IP,13,-102294.01,228727.75,4836719.39,4885318.35
tx486631884610615477,20251219,7.52E+11,33,SUD,112104,20250405,780074,ZRNM,30198793,Y,AUTO-GEN-CBMVAO4Z,19,635827,NJ,99,-491395.86,-972076.37,4718681.93,4725100.3
tx310803283979545555,20250725,4.87E+11,58,KVA,390002,20251009,402588,XLAV,59839588,Y,AUTO-GEN-PRMZITN5,46,115290,PM,14,-873537,583291.4,2365417.07,2320226.92
tx565359781444295313,20250312,7.85E+11,50,NYR,432938,20250314,879486,YAVL,59590193,N,AUTO-GEN-THB76LE0,48,240114,PJ,28,-612548.73,-513475.72,4054571.44,4046577.05
tx361368481111062039,20251121,3.78E+11,26,BLA,914590,20250919,634811,KBBE,84905140,N,AUTO-GEN-ZNZM7GDN,70,324968,XP,28,218366.44,860323.14,1073395.54,1112208.04
tx100438994817930673,20251102,3.67E+11,11,OGY,695022,20260215,870655,OBDW,10172680,N,AUTO-GEN-UGMOQA5E,18,463418,EB,44,-893032.74,319551.09,2603270.72,2600600.22
tx684567855604605519,20251113,5.43E+11,11,CSS,142854,20250502,514376,GIHV,17405549,Y,AUTO-GEN-GDP5L692,47,148715,IY,73,-300241.43,-593373.72,532769.95,490978.61
tx644994688655630171,20260218,2.77E+11,95,UTK,646502,20250526,609952,XNLJ,76849169,N,AUTO-GEN-HOIGLK05,86,143934,HE,60,194651.88,-641209.79,3637934.06,3606682.89
tx776708261463717846,20250508,6.00E+11,25,EMU,673540,20251207,729206,WIZZ,28000773,Y,AUTO-GEN-VV18SPQ1,92,187308,XG,24,-304104.52,698019.39,3492963.01,3452441.11
tx380647440528552313,20260219,4.46E+11,82,SQE,881522,20250321,206028,CEQZ,82155116,N,AUTO-GEN-SR8KYBY2,20,583592,ZK,66,165076.23,-665112.8,344311.53,316288.25
tx611215796237963461,20251119,9.53E+11,53,BEH,839435,20250405,898563,RGGX,20016778,N,AUTO-GEN-M90RHLHL,54,256631,YW,25,538614.52,839437.5,2482626,2519208.18
tx450309035693131055,20250524,1.56E+11,31,ADG,807407,20250925,453228,ZTXO,20201009,Y,AUTO-GEN-VHA0ZXBA,10,319566,JV,43,615703.14,670621.56,310112.8,310434.02
tx504475767321173217,20251214,1.28E+11,30,OEC,114011,20260115,358642,TGDS,79380493,Y,AUTO-GEN-ZQRM4QY4,60,414663,JU,82,542536.66,-956671.77,1203106.58,1153887.56
tx515183587485805212,20251010,3.42E+11,19,PWV,244448,20250823,200975,UTAP,88267803,Y,AUTO-GEN-XDVPF3FQ,19,404622,ZU,46,-131296.59,290941.4,4075623.72,4120450
tx636946958332001562,20250612,4.38E+11,45,BRU,161363,20251104,525996,CVMH,76286792,Y,AUTO-GEN-SETNEPWH,92,128365,AD,76,154534.62,-863857.36,286592.7,327648.7
tx984671377714234234,20250325,6.07E+11,14,OOP,179144,20250717,963234,LIIW,80252588,Y,AUTO-GEN-9N4SHIA5,98,583115,FO,80,830863.73,-81070.3,1360965.08,1391037.64
tx721668136613066102,20250412,6.24E+11,34,MWS,381251,20250626,160570,VXMJ,67557457,N,AUTO-GEN-S5FSR625,13,675229,JH,58,-586506.71,371298.99,2702187.28,2686935.78
tx252564321035018215,20250418,5.67E+11,69,ELO,681995,20250325,179769,VTGW,23798992,N,AUTO-GEN-0X3ST783,85,887244,ZI,98,803933.97,-149434.27,3881496.25,3894336.57
tx508787953389201107,20251007,3.65E+11,64,EZT,936012,20250721,536418,JPDD,75533279,N,AUTO-GEN-L25MBFNH,79,169941,CS,40,744667.79,-919831.05,2707929.75,2727028.07
tx643258160886352591,20251208,8.47E+11,72,BKE,530289,20250913,291425,WDOD,59980315,Y,AUTO-GEN-NJLAG5AF,99,417455,AT,71,32820.51,34991.32,3882311.67,3855884.35
tx210484359646570991,20260305,2.37E+11,99,BXE,320382,20250827,447378,CFEQ,16142300,Y,AUTO-GEN-789BKE8M,46,400201,GI,50,-128526.27,-885779.4,4564258.63,4605559.53
