transactionId,fileHeaderDate,accountNumber,transactionType,batchLocation,batchNumber,updateBatchDate,relatedFileNumber,actionName,relatedFileKey,doNotReportFlag,explanation,minorAssetsClass,owningPortfolio,posterInitials,transactionSubtype,cashEffect,cashPaidOut,brokerNumber,oldBalance,newBalance
TXN000001,20250727,ACC000000001,90,MUM,422439,20260225,810404,POST,48000863,N,AUTO-GENERATED TRANSACTION,55,556521,RS,21,-10780.29,0.00,45139,123456789012345678.123,2173115.68
TXN000002,20251025,ACC000000002,31,CHE,133275,20260225,810826,ADJ,48000884,N,AUTO-GENERATED TRANSACTION,35,556582,RS,14,12422.17,0.00,45119,2078389,2050684.78
BAD!,abc,XYZ,32,HYD,757502,20260225,810339,REV,48000251,INVALID,AUTO-GENERATED TRANSACTION,14,556532,MT,1,1.23456,0.00,45228,123456789012345678.123,1805361.34
TXN000004,20250107,ACC000000004,40,MUM,653161,20260225,810675,ADJ,48000280,Y,AUTO-GENERATED TRANSACTION,50,556587,AK,10,-38496.58,0.00,45679,2412427,2422879.54
TXN000005,2025-12-01,ACC000000005,17,CHE,146389,20260225,810865,REV,48000787,Y,AUTO-GENERATED TRANSACTION,81,556520,VP,28,-11042.75,0.00,45456,1033334,1009055.02
TXN000006,20250521,ACC000000006,68,CHE,160851,20260225,810199,ADJ,48000541,N,AUTO-GENERATED TRANSACTION,38,556539,AK,2,-24518.54,0.00,45456,1848271,1842457.31
TXN000007,20250512,ACC000000007,90,MUM,926120,20260225,810769,REV,48000430,YES,AUTO-GENERATED TRANSACTION,73,556554,VP,27,-16167.30,0.00,45774,2144907,2188940.42
TXN000008,20250530,ACC000000008,28,MUM,332847,20260225,810369,ADJ,48000432,Y,AUTO-GENERATED TRANSACTION,48,556556,MT,36,-32897.35,0.00,45982,1599345,1598021.11
TXN000009,20251216,ACC000000009,82,DEL,500139,20260225,810387,REV,48000636,Y,AUTO-GENERATED TRANSACTION,88,556547,AK,12,43572.15,0.00,45791,1448564,1445931.43
TXN000010,20251215,ACC000000010,56,MUM,291014,20260225,810097,REV,48000937,Y,AUTO-GENERATED TRANSACTION,77,556566,VP,24,38972.71,0.00,45290,1125126,1127137.64
TXN000011,20250502,ACC000000011,21,CHE,130933,20260225,810695,ADJ,48000557,N,AUTO-GENERATED TRANSACTION,52,556594,AK,8,-3803.92,0.00,45960,2353706,2308302.48
TXN000012,20250308,ACC000000012,82,MUM,577640,20260225,810133,POST,48000862,Y,AUTO-GENERATED TRANSACTION,12,556540,MT,40,39009.54,0.00,45676,1924830,1971895.88
TXN000013,20250910,ACC000000013,99,PUN,625586,20260225,810518,REV,48000517,N,AUTO-GENERATED TRANSACTION,98,556599,MT,24,46615.87,0.00,45856,2054712,2006327.39
TXN000014,20251218,ACC000000014,33,DEL,184422,20260225,810485,POST,48000145,N,AUTO-GENERATED TRANSACTION,65,556596,VP,37,-29871.43,0.00,45898,1168230,1157053.52
BAD!,abc,XYZ,67,DEL,565678,20260225,810976,POST,48000592,INVALID,AUTO-GENERATED TRANSACTION,33,556582,RS,40,1.23456,0.00,45280,123456789012345678.123,2381002.05
TXN000016,20251212,ACC000000016,53,CHE,806865,20260225,810911,REV,48000797,N,AUTO-GENERATED TRANSACTION,86,556590,VP,35,-5193.02,0.00,45831,1076738,1107132.28
TXN000017,20251122,ACC000000017,62,CHE,954540,20260225,810687,REV,48000964,N,AUTO-GENERATED TRANSACTION,23,556565,RS,1,24758.26,0.00,45486,2650196,2695539.55
TXN000018,20251020,ACC000000018,98,DEL,575991,20260225,810836,ADJ,48000857,Y,AUTO-GENERATED TRANSACTION,90,556527,VP,34,-33247.76,0.00,45094,1542626,1506340.53
BAD!,abc,XYZ,96,CHE,416044,20260225,810720,REV,48000228,INVALID,AUTO-GENERATED TRANSACTION,92,556577,MT,7,1.23456,0.00,45447,123456789012345678.123,2424311.61
TXN000020,20250609,ACC000000020,15,MUM,524552,20260225,810584,POST,48000170,Y,AUTO-GENERATED TRANSACTION,86,556557,AK,6,-2472.68,0.00,45743,2563007,2598741.17
TXN000021,20251221,ACC000000021,63,MUM,252133,20260225,810864,POST,48000017,N,AUTO-GENERATED TRANSACTION,67,556527,MT,26,-39229.21,0.00,45651,2195765,2208122.55
TXN000013,20250910,ACC000000013,99,PUN,625586,20260225,810518,REV,48000517,N,AUTO-GENERATED TRANSACTION,98,556599,MT,24,46615.87,0.00,45856,2054712,2006327.39
BAD_TXN,20250109,ACC000000023,22,HYD,747238,20260225,810282,ADJ,48000269,N,AUTO-GENERATED TRANSACTION,25,556592,MT,3,1822.41,0.00,45231,2521816,2513511.48
TXN000024,20251125,ACC000000024,75,CHE,191102,20260225,810617,ADJ,48000305,N,AUTO-GENERATED TRANSACTION,36,556553,MT,4,12.3456,0.00,45697,1989147,1955388.98
TXN000025,20250731,ACC000000025,73,PUN,223860,20260225,810598,ADJ,48000612,Y,AUTO-GENERATED TRANSACTION,67,556561,AK,11,35011.17,0.00,45900,2343862,2377614.52
TXN000026,20251223,ACC000000026,65,MUM,965627,20260225,810557,POST,48000118,N,AUTO-GENERATED TRANSACTION,52,556565,MT,34,13221.46,0.00,45747,2729452,2770741.19
TXN000027,20250428,ACC000000027,81,MUM,540220,20260225,810025,ADJ,48000592,N,AUTO-GENERATED TRANSACTION,18,556545,AK,39,12.3456,0.00,45733,2133750,2104499.24
TXN000028,20250813,ACC000000028,42,CHE,809490,20260225,810630,REV,48000736,N,AUTO-GENERATED TRANSACTION,42,556528,MT,24,-40096.46,0.00,45134,2819771,2788605.96
TXN000029,20250321,ACC000000029,80,HYD,344882,20260225,810727,POST,48000022,Y,AUTO-GENERATED TRANSACTION,50,556542,VP,29,42429.72,0.00,45237,2412560,2418583.49
BAD!,abc,XYZ,89,PUN,730558,20260225,810464,REV,48000478,INVALID,AUTO-GENERATED TRANSACTION,97,556567,AK,37,1.23456,0.00,45285,123456789012345678.123,1541470.86
TXN000031,20250521,ACC000000031,62,DEL,442512,20260225,810188,POST,48000985,Y,AUTO-GENERATED TRANSACTION,72,556562,AK,30,4749.51,0.00,45035,123456789012345678.123,1749430.75
TXN000032,20251106,ACC000000032,20,HYD,121272,20260225,810561,ADJ,48000205,Y,AUTO-GENERATED TRANSACTION,38,556502,RS,9,35176.86,0.00,45140,2728583,2771871.63
TXN000033,20251101,ACC000000033,92,HYD,684118,20260225,810931,POST,48000922,YES,AUTO-GENERATED TRANSACTION,20,556581,MT,39,48901.96,0.00,45334,2552997,2521909.32
TXN000034,20251205,ACC000000034,61,MUM,918569,20260225,810953,POST,48000515,N,AUTO-GENERATED TRANSACTION,15,556539,MT,2,17016.25,0.00,45688,1808637,1799539.07
TXN000035,20251024,12345,72,PUN,734451,20260225,810332,ADJ,48000916,Y,AUTO-GENERATED TRANSACTION,81,556582,AK,25,300.98,0.00,45873,1298167,1326687.14
TXN000036,20250821,ACC000000036,82,CHE,329306,20260225,810878,POST,48000764,N,AUTO-GENERATED TRANSACTION,99,556569,RS,33,-26549.79,0.00,45973,1255162,1277021.32
TXN000037,20250926,ACC000000037,64,CHE,402536,20260225,810517,REV,48000875,YES,AUTO-GENERATED TRANSACTION,74,556559,RS,15,-49694.82,0.00,45993,1323104,1328147.67
TXN000038,20250906,ACC000000038,62,CHE,361938,20260225,810641,ADJ,48000345,Y,AUTO-GENERATED TRANSACTION,24,556578,AK,22,-2637.58,0.00,45981,1114287,1154389.41
TXN000039,20250626,ACC000000039,77,DEL,446594,20260225,810279,POST,48000911,N,AUTO-GENERATED TRANSACTION,91,556504,MT,21,39633.01,0.00,45054,2898659,2858152.73
TXN000026,20251223,ACC000000026,65,MUM,965627,20260225,810557,POST,48000118,N,AUTO-GENERATED TRANSACTION,52,556565,MT,34,13221.46,0.00,45747,2729452,2770741.19
TXN000041,20250706,ACC000000041,25,HYD,563950,20260225,810826,REV,48000088,Y,AUTO-GENERATED TRANSACTION,30,556501,VP,37,-19754.25,0.00,45644,1621405,1572059.27
TXN000042,20250601,ACC000000042,78,DEL,596587,20260225,810798,ADJ,48000535,N,AUTO-GENERATED TRANSACTION,73,556582,AK,20,6911.49,0.00,45229,2835731,2845106.55
TXN000043,20250329,ACC000000043,91,MUM,238887,20260225,810430,POST,48000473,Y,AUTO-GENERATED TRANSACTION,92,556536,VP,21,33368.40,0.00,45473,1183543,1160157.24
BAD_TXN,20250602,ACC000000044,32,PUN,549747,20260225,810918,REV,48000483,N,AUTO-GENERATED TRANSACTION,93,556586,VP,11,17738.85,0.00,45544,1547037,1514077.93
TXN000045,20250109,ACC000000045,28,CHE,557356,20260225,810863,POST,48000727,Y,AUTO-GENERATED TRANSACTION,93,556504,AK,12,45851.09,0.00,45857,2032090,2018667.89
TXN000046,20251006,ACC000000046,44,PUN,586153,20260225,810605,REV,48000851,N,AUTO-GENERATED TRANSACTION,16,556559,RS,10,-14929.37,0.00,45316,2871018,2918935.00
TXN000047,20251117,ACC000000047,83,PUN,879969,20260225,810922,ADJ,48000408,N,AUTO-GENERATED TRANSACTION,50,556590,RS,29,37971.33,0.00,45202,123456789012345678.123,2945859.45
TXN000048,20250512,ACC000000048,99,MUM,615742,20260225,810495,REV,48000686,Y,AUTO-GENERATED TRANSACTION,50,556533,RS,32,26653.16,0.00,45206,1290974,1292771.68
TXN000049,20251209,ACC000000049,53,MUM,908405,20260225,810791,ADJ,48000983,Y,AUTO-GENERATED TRANSACTION,37,556513,VP,32,29296.22,0.00,45169,1991518,2021493.01
TXN000050,20250328,ACC000000050,49,PUN,603725,20260225,810122,POST,48000415,YES,AUTO-GENERATED TRANSACTION,59,556587,MT,35,35457.51,0.00,45599,2573124,2530006.03
BAD!,abc,XYZ,82,DEL,517098,20260225,810742,POST,48000099,INVALID,AUTO-GENERATED TRANSACTION,88,556565,AK,3,1.23456,0.00,45400,123456789012345678.123,2273314.54
TXN000052,20250427,12345,43,PUN,441323,20260225,810325,POST,48000301,Y,AUTO-GENERATED TRANSACTION,50,556572,AK,21,-47233.92,0.00,45825,2998625,2955358.44
TXN000053,20250130,ACC000000053,70,DEL,897918,20260225,810962,POST,48000630,Y,AUTO-GENERATED TRANSACTION,39,556545,MT,30,-2246.89,0.00,45975,2216197,2240233.93
TXN000054,20251129,ACC000000054,28,MUM,682487,20260225,810106,POST,48000516,Y,AUTO-GENERATED TRANSACTION,67,556541,AK,10,12.3456,0.00,45641,2820696,2868752.67
TXN000055,20250821,ACC000000055,29,CHE,968112,20260225,810923,ADJ,48000716,N,AUTO-GENERATED TRANSACTION,89,556561,AK,20,-10501.52,0.00,45412,2725785,2713034.29
TXN000056,20250425,ACC000000056,15,MUM,678625,20260225,810530,ADJ,48000302,N,AUTO-GENERATED TRANSACTION,29,556520,RS,7,-32866.50,0.00,45230,1298068,1314070.02
TXN000057,20250430,ACC000000057,39,PUN,558568,20260225,810392,POST,48000366,N,AUTO-GENERATED TRANSACTION,14,556592,RS,28,-33934.95,0.00,45585,1570069,1577043.11
BAD!,abc,XYZ,68,DEL,386935,20260225,810125,REV,48000839,INVALID,AUTO-GENERATED TRANSACTION,25,556575,AK,5,1.23456,0.00,45205,123456789012345678.123,2086237.79
TXN000059,20250613,ACC000000059,27,CHE,378955,20260225,810702,REV,48000647,Y,AUTO-GENERATED TRANSACTION,82,556584,AK,11,-49800.30,0.00,45384,2820376,2791481.86
TXN000060,20250208,ACC000000060,44,MUM,124080,20260225,810225,REV,48000842,Y,AUTO-GENERATED TRANSACTION,31,556574,AK,39,-14484.55,0.00,45682,123456789012345678.123,2584710.37
TXN000061,20250603,ACC000000061,76,MUM,230521,20260225,810760,REV,48000603,N,AUTO-GENERATED TRANSACTION,55,556538,AK,3,-25805.33,0.00,45388,1795467,1755033.91
TXN000062,20250724,ACC000000062,14,MUM,679051,20260225,810212,ADJ,48000913,Y,AUTO-GENERATED TRANSACTION,48,556559,VP,30,-10391.17,0.00,45076,1033665,1076543.82
TXN000063,2025-12-01,ACC000000063,31,MUM,556721,20260225,810675,REV,48000315,N,AUTO-GENERATED TRANSACTION,79,556578,AK,16,-18443.07,0.00,45365,2145860,2188488.00
TXN000064,20250218,ACC000000064,84,CHE,459747,20260225,810712,POST,48000644,Y,AUTO-GENERATED TRANSACTION,32,556556,AK,33,45875.43,0.00,45984,1945416,1964281.07
BAD!,abc,XYZ,24,CHE,683329,20260225,810354,REV,48000938,INVALID,AUTO-GENERATED TRANSACTION,70,556586,MT,20,1.23456,0.00,45807,123456789012345678.123,1942473.24
