transactionId,fileHeaderDate,accountNumber,transactionType,batchLocation,batchNumber,updateBatchDate,relatedFileNumber,actionName,relatedFileKey,doNotReportFlag,explanation,minorAssetsClass,owningPortfolio,posterInitials,transactionSubtype,cashEffect,cashPaidOut,brokerNumber,oldBalance,newBalance
TXN000001,20250707,ACC000000001,49,DEL,501922,20260225,810812,POST,48000400,Y,AUTO-GENERATED TRANSACTION,84,556543,RS,27,39543.68,0.00,45764,1959042,1956682.28
TXN000002,20251227,ACC000000002,38,PUN,934364,20260225,810997,REV,48000390,N,AUTO-GENERATED TRANSACTION,96,556595,MT,4,47837.07,0.00,45202,1911147,1882470.51
TXN000003,20250116,ACC000000003,19,PUN,600022,20260225,810728,REV,48000093,N,AUTO-GENERATED TRANSACTION,50,556577,RS,26,-16800.63,0.00,45403,1610697,1638379.38
TXN000001,20250707,ACC000000001,49,DEL,501922,20260225,810812,POST,48000400,Y,AUTO-GENERATED TRANSACTION,84,556543,RS,27,39543.68,0.00,45764,1959042,1956682.28
TXN000001,20250707,ACC000000001,49,DEL,501922,20260225,810812,POST,48000400,Y,AUTO-GENERATED TRANSACTION,84,556543,RS,27,39543.68,0.00,45764,1959042,1956682.28
TXN000006,20250218,ACC000000006,71,DEL,531092,20260225,810109,POST,48000936,N,AUTO-GENERATED TRANSACTION,11,556508,RS,17,-47504.63,0.00,45172,1352968,1314428.45
TXN000007,20250325,ACC000000007,57,MUM,223571,20260225,810279,POST,48000011,N,AUTO-GENERATED TRANSACTION,51,556512,MT,10,42017.76,0.00,45602,2344366,2329943.53
TXN000008,20250804,ACC000000008,73,HYD,559280,20260225,810229,ADJ,48000212,Y,AUTO-GENERATED TRANSACTION,14,556572,VP,8,-22837.27,0.00,45152,1651107,1679705.71
TXN000009,20250131,ACC000000009,98,DEL,819213,20260225,810928,ADJ,48000765,Y,AUTO-GENERATED TRANSACTION,69,556546,MT,8,-38209.82,0.00,45476,1906326,1873730.67
TXN000010,20250726,ACC000000010,55,HYD,172414,20260225,810685,REV,48000547,Y,AUTO-GENERATED TRANSACTION,37,556593,RS,15,-32635.07,0.00,45476,2274196,2237441.82
TXN000011,20250821,ACC000000011,83,HYD,326833,20260225,810467,REV,48000581,N,AUTO-GENERATED TRANSACTION,75,556532,AK,25,-31909.92,0.00,45562,1739793,1721182.89
TXN000012,20251202,ACC000000012,70,MUM,493447,20260225,810764,REV,48000578,N,AUTO-GENERATED TRANSACTION,60,556559,VP,20,39789.51,0.00,45277,1072336,1045591.59
TXN000013,20250928,ACC000000013,37,CHE,280946,20260225,810864,ADJ,48000977,N,AUTO-GENERATED TRANSACTION,30,556518,AK,18,10281.50,0.00,45511,1398377,1419909.05
TXN000014,20250603,ACC000000014,55,CHE,816145,20260225,810676,REV,48000822,Y,AUTO-GENERATED TRANSACTION,45,556563,AK,19,26356.39,0.00,45245,2835441,2876560.00
TXN000015,20250810,ACC000000015,76,CHE,664087,20260225,810569,POST,48000223,Y,AUTO-GENERATED TRANSACTION,53,556560,AK,13,16275.74,0.00,45361,2604258,2577589.86
TXN000016,20251112,ACC000000016,18,HYD,371595,20260225,810095,POST,48000338,N,AUTO-GENERATED TRANSACTION,53,556530,RS,23,8017.58,0.00,45945,1305826,1261693.88
TXN000017,20250908,ACC000000017,91,MUM,964373,20260225,810653,ADJ,48000397,N,AUTO-GENERATED TRANSACTION,84,556586,VP,3,27926.22,0.00,45353,1223593,1251736.24
TXN000018,20250129,ACC000000018,34,DEL,163665,20260225,810506,ADJ,48000008,N,AUTO-GENERATED TRANSACTION,25,556569,VP,12,-9886.76,0.00,45069,1727867,1758400.52
TXN000019,20250516,ACC000000019,36,PUN,113613,20260225,810709,POST,48000341,Y,AUTO-GENERATED TRANSACTION,91,556509,MT,2,33106.59,0.00,45227,1605429,1564241.73
